timestamp_utc,requested_backend,resolved_backend,device,device_name,device_full_name,model_package,model_sha256,variant_id,base_model,precision,quant_method,execution_provider,model_dir,audio_path,audio_seconds,runs,warmup,cache_dir,cold_load_seconds,hot_load_seconds,warm_load_seconds,mean_infer_seconds,rtf,realtime_factor,label,model_size_mb,avg_logprob,ttft_ms,tpot_ms,throughput_tps,wer,cer,transcription,runtime,model_format,decode_strategy,max_context,eval_clips,status,cold_start_seconds,hot_start_seconds,power_source,host_arch,host_os,runtime_version,inference_precision,requested_provider,resolved_provider,fallback_occurred,provider_attempts,ep_nodes,cpu_nodes,cpu_offload_pct,cpu_offload_ops,assigned_ops_cpu,assigned_ops_npu,operation_assignment_source,measurement_purpose,execution_profile,graph_role,environment_snapshot_id,model_compilation_provenance_ids,error
2026-07-16T00:18:42Z,OnnxRuntimeStatic,"ONNX Runtime (unified, static)",NPU,QNNExecutionProvider,,static-onnx,9da9f440ca7601e6ddfb6afdbc8e1564dbeb19ff56d0522cefd68e52f8a95bac,whisper-tiny-static,openai/whisper-tiny.en,fp32-static,FP32 baseline (inferred from package name),QNNExecutionProvider,C:\Projects\whisper-npu-hal\workloads\whisper\models\static-onnx,C:\Projects\whisper-npu-hal\workloads\eval\ls_000.wav,5.855,10,1,C:\Projects\whisper-npu-hal\build\cache\benchmark\ARM64-qualcomm\auto\whisper-tiny-static\static-onnx\npu,15.1867213,1.1160416,1.1160416,0.35984732,0.0614598326,16.2707895,whisper-tiny-static,236.378,-0.11,-1,16.2155,61.6694,,,"Mr. Quilter is the apostle of the middle classes, and we are glad to welcome his gospel.",onnxruntime-qnn,onnx,static-no-kv,128,1,ok,15.1867213,1.1160416,ac,arm64,Windows 11 (build 26200),1.24.4,preferred,QNNExecutionProvider,QNNExecutionProvider,false,"[{""provider"":""QNNExecutionProvider"",""success"":true,""error"":""""}]",2,0,0,,0,2,ort-ep-graph-assignment,latency,static-onnx,whole,958efdde288a78da562f,97ee21c9c3605e0aec2c,
2026-07-16T00:19:42Z,OnnxRuntimeStatic,"ONNX Runtime (unified, static)",GPU,DmlExecutionProvider,,static-onnx,9da9f440ca7601e6ddfb6afdbc8e1564dbeb19ff56d0522cefd68e52f8a95bac,whisper-tiny-static,openai/whisper-tiny.en,fp32-static,FP32 baseline (inferred from package name),DmlExecutionProvider,C:\Projects\whisper-npu-hal\workloads\whisper\models\static-onnx,C:\Projects\whisper-npu-hal\workloads\eval\ls_000.wav,5.855,10,1,C:\Projects\whisper-npu-hal\build\cache\benchmark\ARM64-qualcomm\auto\whisper-tiny-static\static-onnx\gpu,0.5680192,0.5253681,0.5253681,0.77803703,0.132884207,7.52534876,whisper-tiny-static,236.378,-0.111458,-1,33.0556,30.2521,,,"Mr. Quilter is the apostle of the middle classes, and we are glad to welcome his gospel.",onnxruntime-directml,onnx,static-no-kv,128,1,ok,0.5680192,0.5253681,ac,arm64,Windows 11 (build 26200),1.24.4,f32,DmlExecutionProvider,DmlExecutionProvider,false,"[{""provider"":""DmlExecutionProvider"",""success"":true,""error"":""""}]",2,0,0,,,,,latency,static-onnx,whole,958efdde288a78da562f,aedc8a6d1862f7d1a7b7,
2026-07-16T00:19:53Z,OnnxRuntimeDynamic,"ONNX Runtime (unified, dynamic KV)",GPU,DmlExecutionProvider,,dynamic-onnx,12534e24d20072ab1bca394fe2254205058aeae38b88545c1c12b279d1e51ba2,whisper-tiny-dynamic,openai/whisper-tiny.en,fp32,FP32 baseline (inferred from package name),DmlExecutionProvider,C:\Projects\whisper-npu-hal\workloads\whisper\models\dynamic-onnx,C:\Projects\whisper-npu-hal\workloads\eval\ls_000.wav,5.855,10,1,C:\Projects\whisper-npu-hal\build\cache\benchmark\ARM64-qualcomm\auto\whisper-tiny-dynamic\dynamic-kv-onnx\gpu,0.6688788,0.6698622,0.6698622,0.68795343,0.117498451,8.5107505,whisper-tiny-dynamic,627.746,-0.111458,161.106,28.7941,34.7294,,,"Mr. Quilter is the apostle of the middle classes, and we are glad to welcome his gospel.",onnxruntime-directml,onnx,dynamic-kv,,1,ok,0.6688788,0.6698622,ac,arm64,Windows 11 (build 26200),1.24.4,f32,DmlExecutionProvider,DmlExecutionProvider,false,"[{""provider"":""DmlExecutionProvider"",""success"":true,""error"":""""}]",592,180,23.32,"Add x2, Concat x22, Equal x1, Gather x25, Reshape x1, Unsqueeze x24, Where x1; Concat x12, Gather x8, Unsqueeze x8; Concat x26, Equal x1, Gather x24, Reshape x1, Unsqueeze x23, Where x1",,,,latency,dynamic-kv-onnx,whole,958efdde288a78da562f,53db067dbe6710d18950,
2026-07-16T00:20:43Z,OnnxRuntimeStatic,"ONNX Runtime (unified, static)",CPU,CPUExecutionProvider,,static-onnx,9da9f440ca7601e6ddfb6afdbc8e1564dbeb19ff56d0522cefd68e52f8a95bac,whisper-tiny-static,openai/whisper-tiny.en,fp32-static,FP32 baseline (inferred from package name),CPUExecutionProvider,C:\Projects\whisper-npu-hal\workloads\whisper\models\static-onnx,C:\Projects\whisper-npu-hal\workloads\eval\ls_000.wav,5.855,10,1,C:\Projects\whisper-npu-hal\build\cache\benchmark\ARM64-qualcomm\auto\whisper-tiny-static\static-onnx\cpu,0.3176865,0.3202531,0.3202531,1.2021857,0.205326336,4.87029583,whisper-tiny-static,236.378,-0.111457,-1,49.5774,20.1705,,,"Mr. Quilter is the apostle of the middle classes, and we are glad to welcome his gospel.",onnxruntime,onnx,static-no-kv,128,1,ok,0.3176865,0.3202531,ac,arm64,Windows 11 (build 26200),1.24.4,f32,CPUExecutionProvider,CPUExecutionProvider,false,"[{""provider"":""CPUExecutionProvider"",""success"":true,""error"":""""}]",0,366,100,"Add x16, Gather x1, Gelu x4, Gemm x32, IsNaN x4, LayerNormalization x12, MatMul x25, Mul x8, Reshape x81, SkipLayerNormalization x1, Softmax x8, Transpose x40, Where x4; Add x8, Conv x2, Gelu x6, Gemm x20, LayerNormalization x8, MatMul x12, Mul x4, Reshape x48, SkipLayerNormalization x1, Softmax x4, Transpose x17",,,,latency,static-onnx,whole,958efdde288a78da562f,a5a55d679510896edf9f,
2026-07-16T00:20:50Z,OnnxRuntimeDynamic,"ONNX Runtime (unified, dynamic KV)",CPU,CPUExecutionProvider,,dynamic-onnx,12534e24d20072ab1bca394fe2254205058aeae38b88545c1c12b279d1e51ba2,whisper-tiny-dynamic,openai/whisper-tiny.en,fp32,FP32 baseline (inferred from package name),CPUExecutionProvider,C:\Projects\whisper-npu-hal\workloads\whisper\models\dynamic-onnx,C:\Projects\whisper-npu-hal\workloads\eval\ls_000.wav,5.855,10,1,C:\Projects\whisper-npu-hal\build\cache\benchmark\ARM64-qualcomm\auto\whisper-tiny-dynamic\dynamic-kv-onnx\cpu,0.621104,0.6379184,0.6379184,0.33145497,0.0566105841,17.6645413,whisper-tiny-dynamic,627.746,-0.111457,214.22,13.3788,74.7449,,,"Mr. Quilter is the apostle of the middle classes, and we are glad to welcome his gospel.",onnxruntime,onnx,dynamic-kv,,1,ok,0.621104,0.6379184,ac,arm64,Windows 11 (build 26200),1.24.4,f32,CPUExecutionProvider,CPUExecutionProvider,false,"[{""provider"":""CPUExecutionProvider"",""success"":true,""error"":""""}]",0,776,100,"Add x25, BiasGelu x4, Concat x12, Conv x2, Gather x8, Gelu x2, LayerNormalization x9, MatMul x32, Mul x4, Reshape x16, Shape x4, Softmax x4, Transpose x17, Unsqueeze x8; Add x43, BiasGelu x4, Concat x30, Equal x1, Expand x1, FusedMatMul x8, Gather x27, IsNaN x4, LayerNormalization x13, LessOrEqual x1, MatMul x41, Mul x8, Range x2, Reshape x26, Shape x16, Slice x4, Softmax x8, Tile x1, Transpose x24, Unsqueeze x30, Where x9; Add x45, BiasGelu x4, Concat x26, Equal x1, Expand x1, Gather x26, IsNaN x4, LayerNormalization x13, LessOrEqual x1, MatMul x57, Mul x8, Range x2, Reshape x34, Shape x15, Slice x4, Softmax x8, Tile x1, Transpose x40, Unsqueeze x29, Where x9",,,,latency,dynamic-kv-onnx,whole,958efdde288a78da562f,bc3a375c2c07a95597d2,
2026-07-16T00:23:02Z,OnnxRuntimeStatic,"ONNX Runtime (unified, static)",NPU,QNNExecutionProvider,,static-onnx,9da9f440ca7601e6ddfb6afdbc8e1564dbeb19ff56d0522cefd68e52f8a95bac,whisper-tiny-static,openai/whisper-tiny.en,fp32-static,FP32 baseline (inferred from package name),QNNExecutionProvider,C:\Projects\whisper-npu-hal\workloads\whisper\models\static-onnx,C:\Projects\whisper-npu-hal\workloads\eval\ls_000.wav,5.855,10,1,C:\Projects\whisper-npu-hal\build\cache\benchmark\ARM64-winml\auto\whisper-tiny-static\static-onnx\npu,13.7501883,13.3310145,13.3310145,0.37670766,0.0643394808,15.5425563,whisper-tiny-static,236.378,-0.11,-1,16.395,60.9941,,,"Mr. Quilter is the apostle of the middle classes, and we are glad to welcome his gospel.",windows-ml,onnx,static-no-kv,128,1,ok,13.7501883,13.3310145,ac,arm64,Windows 11 (build 26200),1.24.6,preferred,auto,QNNExecutionProvider,false,"[{""provider"":""WindowsML:PREFER_NPU"",""success"":true,""error"":""""}]",2,0,0,,0,408,ort-ep-graph-assignment,latency,static-onnx,whole,6627ec0a8d2477e354b0,685c02610dd96499c9a0,
2026-07-16T00:24:18Z,OnnxRuntimeStatic,"ONNX Runtime (unified, static)",GPU,DmlExecutionProvider,,static-onnx,9da9f440ca7601e6ddfb6afdbc8e1564dbeb19ff56d0522cefd68e52f8a95bac,whisper-tiny-static,openai/whisper-tiny.en,fp32-static,FP32 baseline (inferred from package name),DmlExecutionProvider,C:\Projects\whisper-npu-hal\workloads\whisper\models\static-onnx,C:\Projects\whisper-npu-hal\workloads\eval\ls_000.wav,5.855,10,1,C:\Projects\whisper-npu-hal\build\cache\benchmark\ARM64-winml\auto\whisper-tiny-static\static-onnx\gpu,0.5813711,0.5398448,0.5398448,0.77418069,0.132225566,7.56283394,whisper-tiny-static,236.378,-0.111458,-1,33.0997,30.2118,,,"Mr. Quilter is the apostle of the middle classes, and we are glad to welcome his gospel.",windows-ml,onnx,static-no-kv,128,1,ok,0.5813711,0.5398448,ac,arm64,Windows 11 (build 26200),1.24.6,preferred,auto,DmlExecutionProvider,false,"[{""provider"":""WindowsML:PREFER_GPU"",""success"":true,""error"":""""}]",2,0,0,,,,,latency,static-onnx,whole,6627ec0a8d2477e354b0,3100c0bbb8475d56c3d8,
2026-07-16T00:24:29Z,OnnxRuntimeDynamic,"ONNX Runtime (unified, dynamic KV)",GPU,DmlExecutionProvider,,dynamic-onnx,12534e24d20072ab1bca394fe2254205058aeae38b88545c1c12b279d1e51ba2,whisper-tiny-dynamic,openai/whisper-tiny.en,fp32,FP32 baseline (inferred from package name),DmlExecutionProvider,C:\Projects\whisper-npu-hal\workloads\whisper\models\dynamic-onnx,C:\Projects\whisper-npu-hal\workloads\eval\ls_000.wav,5.855,10,1,C:\Projects\whisper-npu-hal\build\cache\benchmark\ARM64-winml\auto\whisper-tiny-dynamic\dynamic-kv-onnx\gpu,0.6519626,0.6370278,0.6370278,0.68023901,0.116180873,8.60726879,whisper-tiny-dynamic,627.746,-0.111458,159.758,28.5999,34.9652,,,"Mr. Quilter is the apostle of the middle classes, and we are glad to welcome his gospel.",windows-ml,onnx,dynamic-kv,,1,ok,0.6519626,0.6370278,ac,arm64,Windows 11 (build 26200),1.24.6,preferred,auto,DmlExecutionProvider,false,"[{""provider"":""WindowsML:PREFER_GPU"",""success"":true,""error"":""""}]",592,180,23.32,"Add x2, Concat x22, Equal x1, Gather x25, Reshape x1, Unsqueeze x24, Where x1; Concat x12, Gather x8, Unsqueeze x8; Concat x26, Equal x1, Gather x24, Reshape x1, Unsqueeze x23, Where x1",,,,latency,dynamic-kv-onnx,whole,6627ec0a8d2477e354b0,01c68ab4b4c55417de2f,
2026-07-16T00:25:16Z,OnnxRuntimeStatic,"ONNX Runtime (unified, static)",CPU,CPUExecutionProvider,,static-onnx,9da9f440ca7601e6ddfb6afdbc8e1564dbeb19ff56d0522cefd68e52f8a95bac,whisper-tiny-static,openai/whisper-tiny.en,fp32-static,FP32 baseline (inferred from package name),CPUExecutionProvider,C:\Projects\whisper-npu-hal\workloads\whisper\models\static-onnx,C:\Projects\whisper-npu-hal\workloads\eval\ls_000.wav,5.855,10,1,C:\Projects\whisper-npu-hal\build\cache\benchmark\ARM64-winml\auto\whisper-tiny-static\static-onnx\cpu,0.3211391,0.3274115,0.3274115,0.87154988,0.148855658,6.71791728,whisper-tiny-static,236.378,-0.111457,-1,41.3047,24.2103,,,"Mr. Quilter is the apostle of the middle classes, and we are glad to welcome his gospel.",windows-ml,onnx,static-no-kv,128,1,ok,0.3211391,0.3274115,ac,arm64,Windows 11 (build 26200),1.24.6,f32,auto,CPUExecutionProvider,false,"[{""provider"":""WindowsML:PREFER_CPU"",""success"":true,""error"":""""}]",0,366,100,"Add x16, Gather x1, Gelu x4, Gemm x32, IsNaN x4, LayerNormalization x12, MatMul x25, Mul x8, Reshape x81, SkipLayerNormalization x1, Softmax x8, Transpose x40, Where x4; Add x8, Conv x2, Gelu x6, Gemm x20, LayerNormalization x8, MatMul x12, Mul x4, Reshape x48, SkipLayerNormalization x1, Softmax x4, Transpose x17",,,,latency,static-onnx,whole,6627ec0a8d2477e354b0,f756bf520cf8fa2e9247,
2026-07-16T00:25:22Z,OnnxRuntimeDynamic,"ONNX Runtime (unified, dynamic KV)",CPU,CPUExecutionProvider,,dynamic-onnx,12534e24d20072ab1bca394fe2254205058aeae38b88545c1c12b279d1e51ba2,whisper-tiny-dynamic,openai/whisper-tiny.en,fp32,FP32 baseline (inferred from package name),CPUExecutionProvider,C:\Projects\whisper-npu-hal\workloads\whisper\models\dynamic-onnx,C:\Projects\whisper-npu-hal\workloads\eval\ls_000.wav,5.855,10,1,C:\Projects\whisper-npu-hal\build\cache\benchmark\ARM64-winml\auto\whisper-tiny-dynamic\dynamic-kv-onnx\cpu,0.631478,0.6355951,0.6355951,0.20005095,0.0341675406,29.2675441,whisper-tiny-dynamic,627.746,-0.111457,140.778,9.09568,109.942,,,"Mr. Quilter is the apostle of the middle classes, and we are glad to welcome his gospel.",windows-ml,onnx,dynamic-kv,,1,ok,0.631478,0.6355951,ac,arm64,Windows 11 (build 26200),1.24.6,f32,auto,CPUExecutionProvider,false,"[{""provider"":""WindowsML:PREFER_CPU"",""success"":true,""error"":""""}]",0,776,100,"Add x25, BiasGelu x4, Concat x12, Conv x2, Gather x8, Gelu x2, LayerNormalization x9, MatMul x32, Mul x4, Reshape x16, Shape x4, Softmax x4, Transpose x17, Unsqueeze x8; Add x43, BiasGelu x4, Concat x30, Equal x1, Expand x1, FusedMatMul x8, Gather x27, IsNaN x4, LayerNormalization x13, LessOrEqual x1, MatMul x41, Mul x8, Range x2, Reshape x26, Shape x16, Slice x4, Softmax x8, Tile x1, Transpose x24, Unsqueeze x30, Where x9; Add x45, BiasGelu x4, Concat x26, Equal x1, Expand x1, Gather x26, IsNaN x4, LayerNormalization x13, LessOrEqual x1, MatMul x57, Mul x8, Range x2, Reshape x34, Shape x15, Slice x4, Softmax x8, Tile x1, Transpose x40, Unsqueeze x29, Where x9",,,,latency,dynamic-kv-onnx,whole,6627ec0a8d2477e354b0,f4f14ffdfe45080f0cc1,
